id;code;date;name;description;type;parent;balance;lmu;lmd;hasbatches;accountvalue;accountlevel;accountsnumberingsystem;subparentid;canedit;amount;creditamount;debitamount;debitorcredit;reporttype
1;throughout now clearly;2024-10-02T22:25:54;which why newsstand;construe;9389;8872;29313.45;15406;2024-10-02T11:31:19;false;11725.01;14273;28710;6602;true;9489.98;32452.82;15209.25;pinion meanwhile long;24062
2;sometimes tremendously besides;2024-10-02T22:27:40;lest despite;phooey deliberately agitated;24716;26571;11821.93;31858;2024-10-03T04:28:38;true;2941.5;11612;28203;16511;false;30554.48;7701.23;18393.61;for brr fast;16641
3;cluttered;2024-10-02T19:40:45;made-up psst disinherit;jaywalk;20124;1882;19133.47;29481;2024-10-03T07:27:36;true;30425.44;19987;16539;8121;false;31266.59;28630.73;2558.64;devil shrilly round;27791
4;sans;2024-10-03T07:16:46;sheepishly worth usually;equally ick stable;22687;23362;7406.63;21128;2024-10-03T01:42:14;true;17296.05;9311;14100;18564;false;30573.75;30922.75;5493.01;qua physically;15596
5;scope;2024-10-02T11:43:32;for;shy;3746;22036;31256.46;17805;2024-10-02T09:02:47;false;3459.76;25800;19328;21484;false;10626.64;30764.72;4351.8;fatal stealthily;23118
6;reasonable times which;2024-10-02T10:30:01;to geez;upwardly crossly fairly;20849;5176;1787.31;10944;2024-10-02T20:07:27;false;11140.55;24272;22373;12183;true;10565.89;31755.13;12219.31;phooey;29682
7;over;2024-10-02T16:48:57;since;fooey midst;17626;273;1648.77;6119;2024-10-02T14:54:13;true;3283.2;27723;5477;22045;false;3523.77;24047.04;25433.08;afore vol for;31432
8;after against flight;2024-10-02T23:45:40;really gently unlike;bookend;28916;1394;8694.31;25974;2024-10-02T13:15:24;false;25077.85;29993;26162;12912;false;23329.31;26968.45;6718.75;sense;10236
9;speedily;2024-10-02T20:26:31;consequently roadway enhance;perfumed elegantly;20436;13506;26731.61;9193;2024-10-02T15:32:51;false;31138.33;23108;16594;29503;true;10553.05;24918.64;10844.38;frivolous cruelly inspection;8725
10;in-joke video;2024-10-03T08:30:41;minus um;drat;19259;4645;19844.27;28342;2024-10-02T09:59:45;true;3090.15;15342;30045;10945;true;10575.4;9200.11;8793.99;whereas aggressive joyfully;1979
