id;invoiceid;lineid;optionid;mainid;code;name;description;value;addedbyid;discount;serviceprice
1;16928;1626;3833;25656;promptly grounded smooth;majestically eek;following crooked;11458.77;7776;26244.3;8133.86
2;19419;28974;26574;8425;unbearably;nor;accept warped;7958.7;22395;20046.52;22849.53
3;14082;16699;10917;28603;aha;behind absent broadly;zowie invite however;8710.55;10463;12635.58;27039.72
4;9883;6020;7454;25338;instance hm ouch;dusk;oof stuff;30107.39;9932;16761.4;14984.6
5;896;29529;9898;8152;flight;closely fidget;mutate;26808.87;28242;14639.54;11057.94
6;14102;19551;1036;20232;by;comfortable untrue;tromp circa absent;5062.86;24870;30161.22;16275.98
7;24935;28453;31209;25739;save freight;than how;than inculcate degrease;19609.68;24058;16271.86;12043.78
8;17290;5634;22194;17803;trusty;like shark;unselfish;6313.59;12647;30342.33;9176.64
9;17262;24178;23465;6845;developmental pry;plastic rusty parallel;into;23929.48;6414;9547.86;21101.94
10;20528;26041;12932;24743;guilt writhing;straight finally;unfinished gee;631;14552;21913.21;32230.34
