id;invoiceid;lineid;optionid;servicename;servicediscription;value;addedbyid;iscustomersrvice;discount;serviceprice
1;22102;19449;29708;noisily secret hmph;pro;6474.75;31666;true;4274.73;17236.9
2;14159;1212;27399;coolly;viciously upon interestingly;7119.41;24797;false;25432.15;29868.53
3;5472;16653;5742;outrageous considering;healthily;3799.67;3869;false;28301.24;28528.22
4;9854;9219;500;off pleased;pfft lock;12420.15;2723;false;8986.09;12521.93
5;19743;22817;24575;lucky below rigidly;torn;5462.37;32369;true;19289.48;13865.75
6;18970;4517;25972;cuckoo;never acceptable;6744.77;25086;false;26250.4;9212.13
7;2768;22179;4674;unhealthy fashion;pfft readily malfunction;21183.89;26057;true;32534.15;24320.58
8;17339;19689;297;likewise or when;thankfully monthly;21891.17;21209;true;9138.74;14452.22
9;11115;21800;31983;fabricate ack;describe across;18347.87;19345;false;24095.09;17944.64
10;11015;8972;19328;boo;brilliant;27666.99;31920;false;10934.32;23352.35
