id;lineid;batchlineid;itemid;code;batchid;batchcode;txdate;manufacturedate;expireddate;qty;cost;price;notes;lmu;lmd;nbt;vat;discount;total;issued;issuedby;issueddatetime;addedbyid;canceloptid;cancelopt;cancelby
1;5445;30029;25619;what out tomorrow;16331;steeple;2025-02-26T23:51:38;2025-02-26T17:42:51;2025-02-27T02:48:49;16432.67;16070.53;28407.63;cow memorable;26312;2025-02-26T19:22:36;false;true;4916.87;2403.57;true;19142;2025-02-26T19:40:39;2881;6514;worth;24493
2;19428;24249;24676;eek catalyst untimely;30234;converse opposite;2025-02-26T17:09:29;2025-02-27T05:01:21;2025-02-27T13:28:29;27400.96;22508.95;25047.38;patiently for;26821;2025-02-26T18:53:30;true;false;10589.74;21730.27;false;6734;2025-02-27T05:51:05;17644;19184;gracefully;32296
3;13843;396;29013;amongst;28803;naturally rally;2025-02-27T12:04:05;2025-02-27T11:10:29;2025-02-27T16:45:33;28134.74;5889.34;8399.21;ew;7866;2025-02-26T20:50:27;false;true;4722.07;1530.58;false;24590;2025-02-27T06:41:08;25155;24162;proofread;16839
4;26773;26271;13886;amongst tiny;25210;knuckle;2025-02-27T06:24:44;2025-02-27T01:04:09;2025-02-27T10:01:18;166.2;21158.23;563.64;though;16045;2025-02-26T17:53:41;true;false;25765.59;20455.03;false;2675;2025-02-27T10:15:39;8759;16234;fearless;20512
5;7760;23558;16388;even atop charlatan;10213;provided rebound awful;2025-02-27T14:13:16;2025-02-27T09:01:28;2025-02-27T04:57:23;27239.77;16533.15;5486.73;times;15349;2025-02-27T15:05:44;false;false;2578.72;31516.5;true;5570;2025-02-27T05:30:13;7760;24113;in gee;1475
6;8868;805;25233;amount;25596;extent whether from;2025-02-27T13:06:23;2025-02-26T18:02:58;2025-02-27T08:02:09;1980.23;10945.99;12230.12;cosset;24222;2025-02-27T14:45:25;false;true;10652.1;27746.55;false;21195;2025-02-26T19:36:21;18660;21628;atop;32378
7;31087;2416;3727;reboot;7619;freezing;2025-02-27T14:35:50;2025-02-27T00:54:41;2025-02-27T09:52:20;16787.4;16350.6;16487.61;sociable;28167;2025-02-27T12:05:43;true;false;3963.94;14809.11;false;27404;2025-02-26T18:33:16;1473;4530;thoughtfully;32587
8;3752;19418;24375;poorly;14479;ack eek strange;2025-02-26T22:58:01;2025-02-27T07:52:09;2025-02-27T16:09:59;15014.65;25409.58;23100.27;kindly accessorise ah;1181;2025-02-27T02:27:56;true;false;11142.47;10397.86;true;12602;2025-02-27T16:29:29;16004;12455;ambitious;26596
9;5133;18436;27671;tomorrow provided speedy;1698;conclude;2025-02-27T16:07:36;2025-02-27T05:26:12;2025-02-27T10:29:10;25221.1;18676.06;22088.34;winged lawmaker debit;6455;2025-02-27T08:08:26;false;true;10978.79;30115.3;false;28195;2025-02-27T14:34:05;28630;18408;roundabout supposing charming;4258
10;15857;27281;3779;wee management out;9921;preheat mechanically;2025-02-27T13:39:52;2025-02-27T08:32:06;2025-02-27T05:22:28;6186.1;9439.79;7305.39;never before phrase;22158;2025-02-26T20:45:20;true;true;32099.81;18945.73;true;12609;2025-02-26T20:37:28;11696;12754;turret openly gleefully;12960
