id;invocieid;lineid;itemid;itemcode;itemname;description;unitofmeasurement;quantity;itemcost;itemprice;discount;tax;sellingprice;linetotal;lmu;lmd;nbt;vat
1;25635;10645;24062;phooey;allocation;mooch following;who highly;30771.12;15853.79;14757.9;18514.88;14922.68;29568.44;13649.25;26893;2025-02-11T17:54:39;false;true
2;20666;5285;31894;since inconsequential;boo;where;object stitcher boo;14647.27;28839.64;28027.68;14950.81;30582.64;1547.77;14933.48;7583;2025-02-12T10:10:35;true;true
3;18282;22294;6983;ugh;who;oh whoa;beneath gah wallaby;29901.91;29209.69;31333.74;15097.27;22855.3;18153.05;23660.31;7560;2025-02-11T13:44:30;true;false
4;5513;7131;30459;joyously;whose yet boohoo;that;government inwardly;18708.64;691.17;6002.15;4300.18;21761.74;25937.49;13551.2;4337;2025-02-12T02:09:10;false;false
5;25134;19338;17666;annual;curl insignificant pastel;ick who because;privilege ouch;31604.58;22507.1;14036.2;2162.9;1155.52;11248.2;11477.1;30051;2025-02-12T12:04:28;false;false
6;7613;20573;2112;affectionate;woot psst upward;when;except;18836.65;22636.38;31533.32;5116.18;5978.86;19893.56;11393.6;433;2025-02-12T02:44:32;false;false
7;12993;11046;24624;aw incidentally;gloom;moralise for now;finally cleverly;5914;11748.61;9343.56;23328.98;28343.86;5699.37;18249.92;31671;2025-02-12T03:25:55;true;true
8;16434;13352;19121;around;apropos;outfox than fooey;fatally dim;5797.48;13177.68;15957.69;28655.32;25927.22;25505.16;23985.25;21178;2025-02-12T05:16:42;false;false
9;25380;24738;3011;generally;hence develop terribly;lack;times so publicity;30274.12;6073.47;17335.69;18760.61;13595.3;7995.96;24626.97;24329;2025-02-11T20:15:25;false;false
10;12282;13043;14057;below unless ill;glimmer;optimistic;randomize custody;6461.06;11619.9;13833.48;17776.23;4045.24;2567.12;18642.64;22753;2025-02-11T17:07:13;true;true
