id;code;name;description;lmu;lmd
1;woot epic smoothly;asset slushy but;sweatshop deduce;25825;2024-10-02T14:12:43
2;twin cycle hence;round;intermesh;15449;2024-10-02T12:50:24
3;from;than which;fortunately;758;2024-10-03T03:33:25
4;which;oh insistent rectangular;service whose;16382;2024-10-03T06:57:27
5;ignorance;fooey failing;before anguished pfft;23494;2024-10-02T11:11:22
6;helpless symbolise;gah the;behest mockingly abnormally;32314;2024-10-03T00:59:09
7;around shadowy although;hasty gee rewarding;hastily lone woot;14574;2024-10-02T16:29:04
8;aw abnormally;middle creator;beside incidentally;26374;2024-10-02T21:01:01
9;amid since;tighten duh;probe marten;1239;2024-10-03T02:15:46
10;nearly;regarding deed pro;plus;31406;2024-10-02T13:05:22
