id;servicename;servicediscription;isactive;lmd;lmu;orderby;billtocustomer
1;concerning;boohoo gigantic;false;2024-10-03T19:57:18;23998;22342;false
2;until flashy how;above ha;false;2024-10-03T21:11:02;28900;12102;false
3;or than;with um gee;false;2024-10-03T12:05:49;5266;5441;false
4;nudge;stuff till writ;true;2024-10-03T18:26:47;18959;11813;true
5;for;ha beyond frizz;true;2024-10-03T23:27:26;15773;26230;false
6;finally as wonderfully;before kiss castanet;false;2024-10-03T15:56:58;12721;14251;false
7;absent so;break;false;2024-10-03T21:05:16;29760;17550;false
8;adumbrate defensive;feline;true;2024-10-03T15:57:06;1310;26090;true
9;healthily idealistic sorrowful;march limply;true;2024-10-04T05:27:34;16972;20289;true
10;lashes needily which;ceramics;false;2024-10-03T14:13:12;15346;11333;false
