id;vehicletypeid;billingserviceoptionid;value;lmd;lmu
1;13407;19375;31339.47;2024-10-03T22:52:46;3733
2;23673;14246;30690.82;2024-10-04T00:03:15;296
3;828;25329;19107.42;2024-10-04T05:27:34;12156
4;30531;20931;13794.55;2024-10-03T18:03:32;32195
5;15271;6611;14145.41;2024-10-03T21:41:16;28633
6;27676;32460;15186.67;2024-10-04T05:19:25;13701
7;16627;21102;7670.47;2024-10-03T16:29:52;7211
8;10770;30033;12876.45;2024-10-04T00:34:54;16348
9;29147;26001;6870.47;2024-10-03T10:55:14;28373
10;19517;4838;8014.14;2024-10-03T13:58:36;9974
