id;item_id;item_code;reference;tx_date;qty_in;qty_out;price;l_mu;l_md;reference_code;record_date;batch_id;location_id;location_code;opening;description;reference_doc
1;10016;what mean ha;outfit;2025-04-02T11:37:27;9094.88;16168.91;6300.85;18212;2025-04-01T21:26:20;viciously;2025-04-01T22:22:03;18175;6133;truly;3044.64;urgently;fishery sans
2;31981;ick internationalize;because helpfully;2025-04-02T13:38:49;3386.73;735.9;2523.09;27268;2025-04-02T09:29:05;upsell;2025-04-02T13:19:05;29969;6316;pink;32302.87;fully;yahoo how for
3;9494;verify less mmm;thoughtfully;2025-04-01T15:48:16;19544.71;27978.1;15605.96;725;2025-04-02T08:22:39;awful homely scorpion;2025-04-02T05:25:33;6517;1142;minus instead guilt;20088.8;after make;internalise yummy ew
4;25342;inside;yum;2025-04-02T06:03:08;9581.49;7822.89;27457.57;8850;2025-04-02T02:57:00;usually except per;2025-04-02T10:15:36;17507;22042;lively troubled;20089.97;pendant quickly how;late
5;29319;vamoose blond or;even;2025-04-02T00:05:37;9346.07;5052.03;28297.4;31677;2025-04-02T00:42:07;as after depot;2025-04-02T06:41:27;27934;11125;hm whoa expert;29167.69;sudden ick badly;boldly mask incomparable
6;26079;commonly indeed;soggy joyfully or;2025-04-02T02:48:32;10335;19599.16;10318.03;14493;2025-04-01T22:36:59;chilly bungalow past;2025-04-01T15:02:14;11382;28199;meanwhile;4704.39;next;vestment lest
7;26844;hollow;meh;2025-04-02T11:24:18;13901.12;19384.82;19229.81;30403;2025-04-01T23:33:20;mmm joy pish;2025-04-02T06:27:17;31642;13910;roughly;26587.63;runny;nor incidentally inculcate
8;24562;insecure versus trusty;exhaust yum;2025-04-02T00:12:52;13819.12;15028.41;8262.17;15423;2025-04-02T03:47:44;times as who;2025-04-02T11:44:24;31379;26377;questionably opposite stump;19043.27;since;misreport ha
9;32575;lest far;ugh shrilly;2025-04-02T05:34:01;8580.31;752.28;28536.6;31170;2025-04-02T14:02:49;following opposite blah;2025-04-01T14:17:03;11925;32645;amidst grave;7568.52;through mortally;oddly now dramatic
10;31712;like below;mmm reservation oh;2025-04-01T20:15:19;3499.98;250.51;5315.68;6645;2025-04-02T01:38:23;passionate inventory excluding;2025-04-02T03:57:46;24272;22584;handover scowl;30383.99;ugh fuel;ouch unsightly
