id;mainid;code;name;description;value;isactive;lmd;lmu
1;2928;till soupy;milestone why circa;quarrelsome juvenile sticker;21541.37;true;2024-10-03T21:48:24;9880
2;7786;likewise league;gee uneven;fooey brush;28534.33;true;2024-10-03T10:47:23;6203
3;27561;solicit;instead and;really;25416.16;false;2024-10-03T11:37:08;18729
4;17924;puny baptise hm;fake moor;advanced;29179.39;false;2024-10-03T21:34:53;8327
5;23899;handover;attraction;accidentally powerful cautiously;23737.05;false;2024-10-04T09:11:08;21770
6;1080;only offend segregate;boo;adjourn;19451.42;true;2024-10-03T12:37:09;20652
7;2517;serpentine almost;ha;beyond unfurl;6430.36;false;2024-10-04T07:24:14;15296
8;31250;meanwhile tricky reasonable;oof though;yippee until;26262.08;false;2024-10-03T17:32:42;28816
9;3739;ew of;during fail nudge;unto;12333.69;false;2024-10-04T07:45:23;30844
10;28599;an;urban;blaspheme packaging;5207.1;true;2024-10-04T04:29:02;22147
