id;code;partnumber;name;description;type;classification_1;classification_2;classification_3;classification_4;classification_5;unitofmeasurement;decimalplaces;isassemblyunit;assemblyunitof;reorderlevel;lastcost;lastsellingprice;lmu;lmd;availablequantity;hasbatches;itemspecfilepath;itemimagepath;returnprice;activeitem;minstock;maxstock;dailyaverage;bufferlevel;leadtime;buffertime;saftydays;accountcode;accountid;casepackqty;isregistered;defaultstocklocationid;rackno;barcodeimage;barcodeimage_content_type;commissionempid;checktypeid;checktype;reorderqty;notininvoice
1;beyond;swine that that;ah;before off digit;20071;victorious bowling now;custody astride hefty;while;ack hmph readily;interesting unimpressively till;enfold;8394;false;6301;3080.71;17716.93;20182.82;4219;2024-08-19T14:04:49;30915.38;false;when;playfully;17684.84;false;25925.99;23410.15;25890.98;13068.71;910.11;27603.07;18469.6;round incline salty;1957;9800;false;26447;through finally gosh;../fake-data/blob/hipster.png;image/png;24233;25496;provided;24107.27;false
2;hopeful aside;tomatillo plus after;masculinize;colorfully hype;31870;efface where lest;wire;yogurt;sailor testimonial;duh;handle;19370;false;17449;27780.43;29067.65;16047.45;32747;2024-08-19T17:31:03;17527.38;true;outside;hourly;1969.8;false;8489.99;21575.66;32674.28;31065.32;6407.49;9795.55;250.28;midst what quit;22512;22659;false;29753;muffled soft yuck;../fake-data/blob/hipster.png;image/png;1936;32150;bestride aboard consequently;12774.97;false
3;athwart founder fund;even customise;sew;packaging;11119;through weekly;rudely;but give;boohoo after anenst;warmly amid who;patroller mature;14570;false;7037;24721.48;4764.9;9597.55;32232;2024-08-19T21:18:45;25984.06;true;esteemed superficial;bleakly;24808.6;true;687.48;6288.12;31682.85;2511.78;18620.8;25065.63;14492.76;improbable airman unbalance;31868;3784;false;22720;anxiously printer;../fake-data/blob/hipster.png;image/png;1515;16166;eventually;13726.41;true
4;than into ad;perfumed extroverted;remark overheard;fooey;10730;grimy though how;blond round vice;patiently until;linseed;or worthy cash;considering bleakly;31858;true;12282;1584.81;24777.82;2892.91;32763;2024-08-19T16:23:53;2329.21;false;feline;muffled;11725.65;false;12787.39;31171.96;24189.06;17970.13;26209.24;5132.4;24459.88;shrill aha gah;30495;12884;true;25417;plain gee yum;../fake-data/blob/hipster.png;image/png;32616;15133;pish feline after;31682.89;false
5;boyfriend;beep mmm;comestible versus;drat uselessly than;26688;sour railway now;dimly likewise;record subdued;zowie;typeface internalize;as;24281;false;24889;10673.36;17660.89;28543.64;16513;2024-08-19T22:02:28;5608.03;true;although phew;chow measly hence;1460.95;true;18366.37;26295.65;7387.16;29523.64;17026.3;25759.77;6363.83;rim scratch acceptable;514;11739;false;792;programme mosh;../fake-data/blob/hipster.png;image/png;17131;16568;greedily printer;6381.34;true
6;vista depot elevator;thunderbolt;between;psst ferociously motor;25493;anti stock who;woot inside arbitrate;on boo;vice lest;wetly anenst;crossly;17905;false;27634;5702.04;8091.6;5055.11;18751;2024-08-20T03:49:04;25212.13;true;gently ah;agitated blah vista;4133.17;true;29649.44;9008.62;5762.22;26028.17;17250.65;28218.4;7169.55;uh-huh pace wisecrack;21103;19913;true;15616;aside needily bracelet;../fake-data/blob/hipster.png;image/png;3145;27446;over;19977.17;false
7;whether overload management;aside unnaturally hype;that;experience;9418;uh-huh wherever;yahoo bemuse;well penalise;solicit innocently;supposing;fiercely;15223;false;21606;5744.59;21748.25;652.03;3833;2024-08-19T11:18:26;9059.59;false;spew gosh afore;afterwards;13722.7;true;18598.09;2706.15;30902.75;15603.15;32033.11;15476.74;8935.87;yieldingly;9452;27918;true;32009;draw quantify cuddly;../fake-data/blob/hipster.png;image/png;6579;14691;sharply place;23090.71;true
8;very;casket trusting;bowling hmph;shrill jubilant;2927;inside disrespect chasuble;yearningly blah painfully;someplace upon impact;viability ah;alienated judgementally uselessly;while closely;23675;true;6973;28838.67;31470.58;30673.1;18565;2024-08-19T13:06:27;20863.82;true;whisper;offensively for;17023.1;false;31501.21;6608.86;20839.33;12390.46;29735.21;23904.1;1774.19;ordinary;2398;6047;false;7108;inasmuch whoa needily;../fake-data/blob/hipster.png;image/png;18598;2284;bonnet smoggy dramatic;21047.94;true
9;deserted;fencing;grandson hospitalization liberalize;what amend;21052;ew idle verbally;briefly warped;even inquisitively which;even ravage sheepishly;scratchy athwart;toward with of;22303;true;26123;10807.73;22167.99;11795.67;16919;2024-08-19T18:32:09;23905.3;false;ugh;printer yippee;13435.48;false;9460.28;14687.09;25088.97;24399.88;20932.84;3456.61;28438.37;recklessly even;6950;24373;false;9323;tuxedo boldly really;../fake-data/blob/hipster.png;image/png;31847;7992;carefully wasteful quarrel;5569.33;true
10;decide eyebrow ick;oof and whether;who like whether;if;31484;collectivization hearten;gallery lowball very;onto heavily noon;valentine;recovery foolish;flight;29506;true;10179;3088.03;24237.11;32353.5;30606;2024-08-19T10:29:47;11558.15;false;er;now worriedly ah;13909.69;false;6441.01;14357.57;15851.43;7528.66;7688.74;25429.41;13126.88;boohoo on strident;13261;27466;false;1352;generously;../fake-data/blob/hipster.png;image/png;10453;6658;bah furthermore taxicab;3214.2;true
