id;itemid;code;txdate;cost;price;costwithoutvat;pricewithoutvat;notes;lmu;lmd;lineid;manufacturedate;expiredate;quantity;addeddate;costtotal;returnprice
1;21305;extroverted;2024-08-22T12:16:16;21502.94;8303.49;15348.31;7386.49;zowie overcooked;23210;2024-08-22T16:10:16;28691;2024-08-22T23:48:33;2024-08-23T01:25:35;7690.81;2024-08-22T13:33:38;6867.53;3669.65
2;4605;distant overconfidently classic;2024-08-22T11:19:37;27712.44;13867.25;4243.37;29845.04;after;2649;2024-08-22T23:42:28;19560;2024-08-22T20:43:18;2024-08-23T04:04:01;18209.76;2024-08-22T10:58:16;24859.89;7738.08
3;5190;poppy worth;2024-08-23T03:19:05;24711.34;5149.73;28980.95;10317.54;tedious institutionalize;30166;2024-08-22T20:02:21;31346;2024-08-23T01:32:53;2024-08-23T00:11:39;21751.49;2024-08-22T14:23:37;18265.58;10056.61
4;12959;peony depute masculinize;2024-08-22T07:58:46;24240.76;9867.99;19115.43;32286.01;who;17212;2024-08-23T07:20:53;13057;2024-08-22T19:18:40;2024-08-23T05:35:36;5100.11;2024-08-22T19:24:57;24412.39;13469.01
5;28838;eek creature deliquesce;2024-08-23T07:04:55;7954.1;32096.76;12544.43;13714.61;scout pro;21414;2024-08-23T00:46:09;14840;2024-08-22T11:21:14;2024-08-23T07:20:08;9561.86;2024-08-23T00:49:26;29962.7;3860.78
6;20959;among via;2024-08-23T07:44:04;22536.45;4382.48;2195.15;21831.95;motivate rowdy whoa;32667;2024-08-22T23:34:29;7285;2024-08-22T09:25:04;2024-08-22T10:41:59;676.98;2024-08-23T06:52:54;19390.46;27695.94
7;22414;bleakly radiant;2024-08-23T01:42:06;20648.47;12399.67;21780.81;203.32;gymnast boohoo lady;16114;2024-08-22T22:32:58;28030;2024-08-22T13:25:25;2024-08-22T19:59:56;9121.54;2024-08-22T17:29:16;5917.35;22682.51
8;5889;incidentally;2024-08-22T22:59:27;21744.99;24096.04;30691.94;23897.43;pry recklessly incidentally;13267;2024-08-23T04:26:46;24277;2024-08-23T03:07:08;2024-08-22T19:24:31;29681.58;2024-08-22T19:16:39;306.65;8303.55
9;29675;demob signature;2024-08-23T05:10:23;7001.44;5054.89;3089.35;32621.89;woefully;20793;2024-08-22T08:08:50;26941;2024-08-23T02:40:01;2024-08-22T18:17:16;17847.3;2024-08-23T03:18:57;25478.38;15090.98
10;19794;woot total successfully;2024-08-23T07:02:56;16703.05;12569.44;8913.21;7871.84;juicy inferior;679;2024-08-22T15:21:15;32571;2024-08-22T22:45:30;2024-08-22T22:25:31;28922.65;2024-08-23T02:24:20;29122.67;21185.08
