id;invoice_id;line_id;option_id;main_id;code;name;description;value;added_by_id;discount;service_price
1;770;1551;20704;2036;13426.09;metabolite or;ugh;9007.16;10293;18787.64;23673.85
2;2013;19376;201;27026;16682.98;who;premier detective;19112.98;18994;29181.19;30567.35
3;24917;26132;25277;8971;31934.24;save;floss modulo;20299.71;6663;20915.78;12444.2
4;18207;11934;14654;15278;19380.01;cork;formation;24123.16;14424;23464.66;11695.19
5;8979;19416;16734;21513;16139.86;commonly repentant dash;cloudy duh;15364.73;4213;29511.08;9191.04
6;7177;17555;6822;28384;2046.94;coincide intermix;after;626.35;31884;16133.73;16241.88
7;27605;22584;1555;12369;12575.27;geez babushka sideboard;scare barring deduction;9378.46;29710;16820.47;8332.22
8;175;24407;30269;5109;2346.65;thick likely er;lobotomise collaborate gadzooks;25004.1;1015;19503.97;4840.1
9;32012;4639;13750;29943;3866.31;dead;unethically consequently obesity;24982;5073;31546.97;32408.6
10;22380;1068;1689;24113;21329.5;but owlishly;bah;2326.77;11897;30766.12;10553.21
