id;payment_method_name;commission;company_bank_account_id;lmd;lmu
1;nucleotidase;11850.42;20841;2025-04-23T07:46:58;2452
2;assured;5654.19;25297;2025-04-22T20:13:13;13782
3;but electronics;20870.98;10103;2025-04-23T10:22:36;10512
4;boohoo in seriously;3311.8;1211;2025-04-22T13:46:11;19982
5;ack if daddy;18385.81;5299;2025-04-23T07:10:22;28515
6;barring mismatch;11932.4;4412;2025-04-23T04:30:17;17045
7;omelet chow;32236.73;9626;2025-04-22T19:32:28;3491
8;indolent amid persecute;23480.75;24417;2025-04-22T14:01:18;13985
9;sermon abaft athwart;24447.76;16351;2025-04-22T12:48:54;4973
10;pulverize;19633.44;2757;2025-04-22T20:16:04;18783
