id;lineid;invoicecode;invoicetype;originalamount;amountowing;discountavailable;discounttaken;amountreceived;lmu;lmd;accountid
1;10415;huzzah range;never treble microchip;27730.2;299.82;3798.17;15697.27;10486.06;26150;2025-02-26T01:45:06;743
2;21445;toward ick;wriggler by colligate;12774.31;5512.64;13124.72;3154.77;9236.91;25414;2025-02-26T04:29:24;7325
3;24577;pace;boldly;23051.4;18664.69;9733.18;1826.04;5403.73;22800;2025-02-25T18:57:31;1707
4;18390;modulo;deny completion;28403.01;5537.06;27592.59;6443.31;31979.29;12303;2025-02-26T01:38:07;15667
5;10000;adjudge whose without;yin;6088.84;5843.49;22077.56;3382.75;8145.12;7820;2025-02-26T00:04:10;4560
6;24409;outrun monocle;too;23751.22;19777.17;12578.96;31497.78;28975.88;13034;2025-02-25T11:52:51;17760
7;27146;joint;why;11873.21;3297.18;11686.29;14256.84;6867.82;27615;2025-02-25T18:39:52;10751
8;6140;bakeware step-mother while;after briskly aw;12522.86;1296.95;26602.58;28897.67;12504.39;28425;2025-02-25T08:57:16;27301
9;3491;oh usually throughout;overload in not;29618.77;3058.63;22730.01;26206.1;5517.81;17709;2025-02-26T01:11:21;13707
10;15983;acidly;ack;16001.9;10360.61;3124.67;3484.95;391.83;7141;2025-02-25T21:27:07;29887
