id;invoice_id;line_id;option_id;main_id;code;name;description;value;discount;service_price
1;11776;8281;8482;2220;yippee far knickers;ah down;zowie expostulate;31708.01;22877.21;13430.3
2;29714;21369;5570;24582;integer aw;roughly distant;consequently why;17160.89;13011.64;6641.32
3;24634;8737;25935;20241;tired;furiously table whether;dreary successfully;20359.36;21863.6;10446.8
4;29225;16434;12315;22136;geez gruesome;ha;but yahoo up;301.01;23121.72;14492.75
5;32530;7232;18392;12927;circa sweetly;knottily;legging parade elevator;5527.95;10118.38;30872.55
6;32308;13483;5749;22898;for intervention crumble;galvanize violent when;uh-huh lovable bathhouse;13068.79;9715.68;22673.54
7;5263;14258;23562;16201;toward an;oh;noxious icebreaker ride;25474.51;14184.85;11542.51
8;17914;16763;14949;22499;within;staid gad;entice;20507.21;7925.56;13078.88
9;2931;1874;1983;16720;youthfully tomorrow hence;boo shabby conservation;boo frantically;17138.52;5265.31;8024.4
10;8961;11557;7827;3485;brr;authorized axe among;aha stunning consequently;25893.7;26710.53;28017.25
