id;invoiceid;lineid;optionid;mainid;code;name;description;value
1;15740;26552;26817;8352;jaywalk cruelly probable;deflect in tut;considering;468.56
2;16698;22676;25024;5663;indeed;rich into sunder;yahoo unlearn;1482.78
3;2895;14815;2820;3882;hence following psst;embalm huzzah;trek;13966.69
4;23053;15300;29819;13473;unless provision sniff;a;eek gosh;16368.77
5;10987;13206;22576;5634;ew;skeleton drive ah;quirkily oof aboard;26270.84
6;2682;21049;13785;8161;testing ouch;alongside uh-huh;the;12050.82
7;2290;8025;2939;5690;engender jeopardise since;uh-huh advertisement deplore;hm;20585.63
8;6961;12628;30718;30113;yippee privilege;retract trash;last glider;10681.24
9;27641;9789;30662;9886;indeed advocate;barring;besides;18435.04
10;23164;13184;6001;3475;pfft;collectivization abandoned weary;legislature behind forager;14243.51
