id;line_id;batch_line_id;item_id;code;batch_id;batch_code;tx_date;manufacture_date;expired_date;qty;cost;price;notes;lmu;lmd;nbt;vat;added_by_id
1;2834;14520;27339;behind solvency jagged;13672;phooey gurn;2025-03-06T22:18:43;2025-03-07T04:43:39;2025-03-06T19:45:39;25104.04;1886.27;21093.41;until;6957;2025-03-06T22:43:52;true;false;17616
2;22907;17922;18794;boo frenetically doubtfully;29513;outfox;2025-03-06T21:30:37;2025-03-06T16:35:03;2025-03-07T05:34:22;180.21;8483.46;28420.7;whoa white since;30386;2025-03-07T00:35:45;false;false;32131
3;21881;32216;5051;hence an;19784;mathematics forearm;2025-03-06T21:05:50;2025-03-07T09:14:15;2025-03-06T18:18:05;21340.1;10254.12;31548.91;than chainstay;6240;2025-03-07T05:05:46;false;true;29957
4;16130;11752;2898;private;27400;after beneath brr;2025-03-06T19:58:42;2025-03-07T01:18:41;2025-03-07T12:58:19;22027.84;13670.44;26748.84;whoa weekly whenever;25264;2025-03-06T20:38:36;false;false;12333
5;9547;4561;17128;bitterly anxiously;11816;unethically disbar via;2025-03-07T07:18:59;2025-03-06T19:28:19;2025-03-07T11:20:12;16864.36;11953.79;5182.35;ultimately;31794;2025-03-06T21:44:28;true;true;1023
6;19577;19689;25351;yearly sun;8268;muted testimonial masculinize;2025-03-06T17:07:41;2025-03-07T13:48:20;2025-03-07T15:20:41;13180;23308.3;3965.48;that hmph;28097;2025-03-07T08:31:23;true;false;10642
7;452;14066;4405;possible eek;28664;mystify gah;2025-03-06T21:18:33;2025-03-06T17:14:34;2025-03-06T16:20:51;4051.22;26091.83;2521.61;mythology until inexperienced;3557;2025-03-06T18:31:26;true;true;23477
8;9855;27298;6022;among;30784;terrorise unwieldy;2025-03-07T13:43:34;2025-03-07T05:09:35;2025-03-06T21:57:45;5474.32;22867.53;2849.6;inside willfully unto;1051;2025-03-07T09:22:38;true;false;18482
9;13762;11116;22261;jealously emergent;19620;woot;2025-03-06T16:08:52;2025-03-07T03:52:15;2025-03-07T00:03:12;6070.39;9456.05;32765.01;fairly;27592;2025-03-06T23:48:52;true;false;22505
10;26812;5574;18426;during yawningly;760;scuttle until colligate;2025-03-06T20:57:44;2025-03-07T15:00:06;2025-03-07T01:58:38;23091.87;7323.77;11856.75;upon;9445;2025-03-07T13:33:34;true;false;32404
