id;invoiceid;lineid;itemid;itemcode;itemname;description;unitofmeasurement;quantity;itemcost;itemprice;discount;tax;sellingprice;linetotal;lmu;lmd;nbt;vat
1;1600;17499;16682;tray apprehensive writhing;hopelessly selfishly approach;likewise at unrealistic;tabulate off immaculate;26504.57;9370.74;9611.15;9932.46;11892.98;15337.65;20538.72;21102;2025-01-28T18:18:16;true;false
2;28827;17811;32195;opposite;yippee furthermore victoriously;mid;sudden;1381.6;4377.12;23956.37;26538.84;22004.91;23970.99;13845.23;20379;2025-01-29T14:33:32;false;true
3;32268;9209;22986;pfft whether till;who;metabolise apropos sinful;writ;30100.07;12292.66;8029.77;26606.79;10748.71;8770.3;21813.78;19661;2025-01-29T01:20:36;false;true
4;14008;30997;16435;than while;muddy cheerfully;adventurously heavenly;er;22915.17;20805.65;19875.08;30294.04;6267.55;5697.79;1939.46;26552;2025-01-28T22:52:52;true;false
5;28030;30608;18627;geez flight joyously;oh healthily;cheap;react late bah;17686.77;32414.57;24643.25;22501.51;13821.08;28075.78;8245.88;2931;2025-01-28T14:51:31;true;true
6;5132;27593;12855;unripe lest underachieve;venture past;mmm carboxyl past;trek resort;3097.94;9565.3;4702.07;17102.52;3257.54;13268.38;7299.81;697;2025-01-28T18:19:41;false;true
7;29430;10536;17093;cinema almost;sour gently;blah phooey excluding;grandpa er;7067.44;4509.95;7359.42;3605.7;3095.24;261.73;1480.62;22292;2025-01-29T06:08:02;true;false
8;23000;4068;11047;whoa;jittery;pendant;cake;15193.42;31579.52;3257.36;17085.09;7201.1;31706.57;14927.49;3356;2025-01-29T10:24:25;true;true
9;1092;4331;28550;who;pfft;phooey tail;through;9905.61;22392.73;1723.45;20985.06;17563.14;5303.75;29986.04;3046;2025-01-28T17:57:54;false;true
10;24278;25114;1691;to qua;overspend;delightfully quirkily;whether cute upright;9222.64;22564.52;29648.63;10861.37;10502.25;14207.67;152.61;6832;2025-01-29T08:07:06;true;true
