id;invoice_id;line_id;option_id;service_name;service_description;value;is_customer_service;discount;service_price
1;18378;12547;32336;mispronounce deflect disinherit;tenant anenst which;29170.94;true;29817.18;7812.18
2;2858;28524;5630;psst so;card certify pointed;16769.39;false;27040.69;15417.72
3;7513;22148;21257;where zowie to;psst tooth boohoo;20039.52;true;14601.07;6197.09
4;25405;26233;18830;peaceful excepting;bah concerning oof;11383.86;false;23514.11;9182.03
5;25609;10190;20244;whoever;boom;10537.95;false;22993.73;9040.14
6;23105;21965;25753;unwieldy;symbolise athwart lest;3926.55;false;23004.37;17096.19
7;31817;16878;5409;alongside infinite ha;brightly;7456.84;true;21688.43;10829.42
8;21056;16656;28340;institute;woot;27851.97;true;27887.96;15984.35
9;344;3151;673;minus how oxygenate;staid;23161.5;true;27413.84;20755.19
10;15512;8451;3300;quaff yearningly truthfully;but before;8299.68;true;12116.12;8026.91
