id;invoice_id;line_id;option_id;service_name;service_description;value;is_customer_service
1;15344;6358;19060;bandwidth eek expatiate;harvest reach;24609.38;false
2;14454;15718;21890;until anti gadzooks;unfurl er furthermore;19464.14;false
3;10717;16384;32232;without technologist continually;fictionalize intrigue boohoo;11564.65;false
4;19462;20375;4549;unexpectedly arrange intently;digitize exempt;22605.32;true
5;16596;1761;2019;belabor aw dearly;reschedule;13952.78;true
6;22611;5380;25089;uh-huh prickly nor;wordy um doubtfully;28823.5;false
7;30502;10154;24739;elderly brr sleepily;astride happily for;24836.76;true
8;11038;8650;30994;who fooey before;lustrous bestride finer;22749.05;true
9;6657;32671;23122;printer aw;wisely;27868.72;false
10;12171;2216;7133;offend;indeed circa heavily;31660.39;true
