id;name;description;lmu;lmd;showsecurity;sortorder;isactive
1;atop;so aha;17877;2024-08-19T22:40:29;true;13593;false
2;than;premeditation colour whenever;29499;2024-08-20T00:05:54;true;26104;true
3;yearn implode fruitful;excluding or rotten;27686;2024-08-19T11:21:05;true;15152;true
4;simplistic shoulder excitedly;sarong;1112;2024-08-19T22:18:24;false;14090;false
5;subtract;oh deduction;2142;2024-08-19T19:42:01;false;17262;false
6;accidentally joyously;past finally everlasting;31033;2024-08-19T16:25:52;true;11450;true
7;righteously license;or bashfully;12856;2024-08-19T11:51:09;false;6841;true
8;neglected awful;sternly eulogise;27022;2024-08-19T17:58:14;false;3820;true
9;ah bookcase;unto ick;32177;2024-08-20T04:16:26;true;4487;false
10;forenenst fondly till;useless;4882;2024-08-20T00:48:02;true;32514;true
