id;name;description;mainid;mainname;lmu;lmd;isactive
1;before than;waist;23632;provided arbitrate;5807;2024-08-20T16:38:43;false
2;phooey;cruelly;22988;incomparable proofread;25015;2024-08-20T08:27:34;true
3;inasmuch cauliflower expense;fit atop recklessly;32326;carelessly hubris;20492;2024-08-21T00:09:43;true
4;hose concerning;jubilantly forenenst knitting;19542;anticodon;452;2024-08-21T00:39:55;false
5;decide patiently;ideal;26798;cook;32400;2024-08-21T02:45:52;true
6;under delete;fiercely unabashedly slimy;20606;phew;8641;2024-08-20T06:27:27;true
7;psst fully geez;whoever;28432;lay rundown;28371;2024-08-20T15:46:34;true
8;huzzah ouch across;mostly wherever gradient;30416;tall against;718;2024-08-20T12:13:34;false
9;upon;ha;26719;ack;21636;2024-08-20T13:31:24;false
10;swerve upon provided;illusion lively above;18048;comparison embed um;16881;2024-08-21T02:36:10;false
