id;jhi_key;last_value;next_value;lmu;lmd
1;uh-huh;offensively gadzooks potentially;onto;335;2025-03-04T22:36:49
2;yippee thyme among;similar;yesterday;18746;2025-03-04T16:39:42
3;plus;common disconnection hence;rosin toward;32435;2025-03-05T00:46:35
4;bashfully spotless;order ick;till;1549;2025-03-05T01:18:21
5;miserably refine perky;um;lest retention that;6;2025-03-04T15:21:09
6;dream;near co-producer;gee except;8469;2025-03-05T01:57:16
7;reorient thoughtfully;gee regarding;in humidity;5150;2025-03-05T12:27:44
8;why;ectoderm moor;eek exactly diver;17246;2025-03-04T23:47:21
9;and once;function;rarely whoever vengeful;15940;2025-03-05T01:31:39
10;godfather scratchy;beside why;as readmit;23327;2025-03-05T00:29:14
