id;account_id;account_code;debit;credit;date;ref_doc;ref_id;sub_id;source;payment_term_id;payment_term_name;lmu;lmd
1;14028;more;17071.41;30759.9;2025-05-04T07:10:28;lawful exactly;8782;../fake-data/blob/hipster.txt;within persecute;24703;merrily;6990;2025-05-03T23:48:06
2;8749;ugh pleased solvency;17021.81;6537.1;2025-05-03T19:43:43;fatally except;5312;../fake-data/blob/hipster.txt;at;11468;mmm;19564;2025-05-04T04:02:36
3;24936;misreport;21341.92;5680.45;2025-05-04T14:29:31;wisely modulo;29156;../fake-data/blob/hipster.txt;tail;17820;acceptable silk polarisation;5529;2025-05-03T18:49:05
4;7169;um where;2002.86;29381.18;2025-05-04T08:20:07;yahoo;30435;../fake-data/blob/hipster.txt;eek bludgeon hyphenation;12525;who;29885;2025-05-03T23:30:43
5;4016;chairperson;8617.84;26235.04;2025-05-03T22:59:16;along dense;27577;../fake-data/blob/hipster.txt;grimy;26623;phooey provided sonar;11331;2025-05-04T15:30:06
6;6906;cutlet eggplant;125.43;12014.7;2025-05-04T12:23:02;communicate likewise;4731;../fake-data/blob/hipster.txt;of versus because;32558;after;26117;2025-05-04T01:07:10
7;6576;meh inscribe;26621.68;9427.07;2025-05-03T22:43:35;gah;18223;../fake-data/blob/hipster.txt;and;18981;confused dishonor;26716;2025-05-04T18:22:48
8;18782;paltry shyly;16907.89;25716.72;2025-05-04T17:08:41;advocate pace given;2276;../fake-data/blob/hipster.txt;fax construe;335;dearly beyond;29035;2025-05-04T08:18:40
9;7397;huzzah;20135.44;31958.79;2025-05-04T09:42:27;during thick;25968;../fake-data/blob/hipster.txt;faithfully;8770;indeed scaly astride;10016;2025-05-03T20:47:36
10;25876;reluctantly within couch;25515.92;5204.5;2025-05-04T13:08:18;near inasmuch abaft;1269;../fake-data/blob/hipster.txt;know;22280;ugh;20447;2025-05-03T23:18:56
