id;code;voucher_date;supplier_name;supplier_address;total_amount;total_amount_in_word;comments;lmu;lmd;term_id;term;date;amount_paid;supplier_id;is_active;created_by
1;uselessly;2025-02-11T01:10:38;overcoat libel consequently;down tenant slow;25368.14;phew correctly;atop;25367;2025-02-11T00:22:26;14947;pro questioningly indeed;2025-02-10T22:32:50;23160.17;28613;true;5786
2;burgeon rubric;2025-02-10T07:30:03;sham digitize;brr enormously imaginative;28137.33;reproachfully;rare nauseate;31928;2025-02-10T12:08:05;6038;but boo;2025-02-10T20:52:05;24663.48;26185;false;30929
3;window secondary sticky;2025-02-10T12:06:28;question microblog rejigger;thankfully;838.17;light unless legislature;goodwill;20545;2025-02-10T16:29:21;22510;wallop inscribe;2025-02-10T23:10:29;21117.33;30807;true;2701
4;on how;2025-02-11T00:21:38;restfully;lowball amidst;27034.59;times;yarmulke midst readily;12106;2025-02-10T19:44:10;30044;proud;2025-02-10T11:53:31;27113.82;4296;true;4754
5;stealthily generously;2025-02-10T16:52:07;above unwilling up;official adolescent;6364.83;task amidst infatuated;worst;2701;2025-02-10T23:28:19;31082;orchestrate gloss;2025-02-10T18:42:14;10714.24;12862;true;30860
6;considering actual;2025-02-11T03:10:54;equally till since;gosh or barring;25655.33;gladly clear-cut;dreamily yum;8320;2025-02-10T17:29:36;10792;astride oof;2025-02-10T09:38:53;25632.82;9812;false;19836
7;unabashedly;2025-02-10T23:12:08;taut below including;that mid;10926.09;where buttery graffiti;quadruple yum;30297;2025-02-10T17:32:13;11149;poorly;2025-02-10T11:32:15;23362.27;10996;false;10839
8;pfft;2025-02-10T11:24:05;somber hmph freely;palatable;29313.67;warp;intensely;739;2025-02-10T14:43:27;11638;fine;2025-02-10T23:03:33;14089.75;2323;false;24318
9;unscramble libel;2025-02-10T19:46:49;finally rim amused;ha the;4400.45;incinerate round;heroine;721;2025-02-10T10:20:03;1008;yawn;2025-02-10T04:54:38;3551.04;7333;true;30375
10;negotiation testimonial;2025-02-10T19:36:13;mostly bell geez;anaesthetise;8918.5;aggravating instead;yearly empty redesign;29376;2025-02-10T06:23:17;7277;phooey hoof;2025-02-11T04:08:42;20097.68;32460;true;10201
