id;line_id;grn_code;grn_type;original_amount;amount_owing;discount_available;discount_taken;amount_received;lmu;lmd;account_id
1;22662;lovable scale provided;making sleet the;5393.42;30696.05;20934.61;31052.78;7210.49;14588;2025-02-10T06:12:43;12950
2;16981;although;nautical ultimately;30702.04;4676.82;17938.78;26393.85;6595.9;30130;2025-02-10T05:34:36;31727
3;5559;variable;disinherit dispense;26160.63;7430.8;11249.24;9803.12;7579.53;28918;2025-02-10T11:48:30;17491
4;11243;until;atop whether seldom;6804.94;6103.89;5894.01;16988.81;4223.5;24078;2025-02-10T10:33:55;25676
5;16164;joint;amongst oof;11972.15;25891.22;28680.38;9422.5;25190.82;28277;2025-02-10T12:25:04;15803
6;24074;pantyhose eyebrow;uh-huh zowie;24920.95;12893.8;17185.48;7751.87;25467.95;25814;2025-02-10T05:35:32;6450
7;28197;expansion lender;birdcage;31503.42;3524.22;20754.98;23401.18;28260.32;12136;2025-02-10T16:09:55;16383
8;8696;heavily tense geez;er redevelop into;9507.68;16603.07;32395.01;1545.47;16192.64;28746;2025-02-10T08:38:13;520
9;3278;disrespect spear;ha vulgarise scuttle;20856.66;9910.56;693.66;15740.11;2452.66;23694;2025-02-10T17:48:13;15398
10;30964;aw ha;marimba malfunction scout;11892.62;21667.22;18097.71;8547.51;32350.53;30768;2025-02-10T14:22:26;25305
