id;vehicleworkid;lineid;workid;workshopwork;isjobdone;jobdonedate;jobnumber;jobvalue;estimatevalue
1;29115;12448;5556;minister under publicity;true;2025-02-16T13:55:28;phooey;7453.06;14322.13
2;8905;24974;17970;a times pfft;false;2025-02-17T01:50:28;e-mail conclude;25419.63;18507.64
3;12215;15768;26578;unfortunately;false;2025-02-16T10:35:38;pace;23433.15;14459.5
4;29303;23736;9040;certainly;true;2025-02-16T07:48:48;pace;19803.26;14956.86
5;5248;25276;875;abacus in;true;2025-02-16T17:55:30;whoever mid;24415.18;19572.9
6;29731;3268;18220;once colorfully;true;2025-02-16T10:39:04;oh at blah;25446.83;12971.49
7;17757;14534;28804;before;true;2025-02-16T13:55:16;ceramic wonderfully;16955.7;11471.94
8;4204;21419;31208;obnoxiously sorrowful whether;true;2025-02-17T04:44:08;sleepy;747.46;16274.55
9;24119;5221;20197;geez;true;2025-02-16T20:50:19;quit reasoning;20003.53;23771.01
10;15910;32216;21471;excluding;true;2025-02-16T19:57:29;wrongly where;26193.82;11975.58
